zpid,title,address,city,state,postal_code,price,facts and features,url,beds,baths,sqft,price_per_sqft,neighborhood,region,size_type
2090375808,Condo For Sale,5 N 500 W # 917,SALT LAKE CITY,UT,84101,265000.0,"1 bd , 1 ba , 753 sqft",https://www.zillow.com/homedetails/5-N-500-W-917-Salt-Lake-City-UT-84101/2090375808_zpid/,1.0,1.0,753.0,351.92563081009297,Downtown_SLC,Central,small
2090452983,For Sale by Owner,500 W 500 S Parc At Gtwy # 817,SALT LAKE CITY,UT,84101,245000.0,"1 bd , 1 ba , 763 sqft",https://www.zillow.com/homedetails/500-W-500-S-Parc-At-Gtwy-817-Salt-Lake-City-UT-84101/2090452983_zpid/,1.0,1.0,763.0,321.10091743119267,Downtown_SLC,Central,small
83826154,Condo For Sale,328 W 200 S APT 402,SALT LAKE CITY,UT,84101,319900.0,"1 bd , 1 ba , 893 sqft",https://www.zillow.com/homedetails/328-W-200-S-APT-402-Salt-Lake-City-UT-84101/83826154_zpid/,1.0,1.0,893.0,358.2306830907055,Downtown_SLC,Central,small
65733953,Condo For Sale,5 S 500 W UNIT 1116,SALT LAKE CITY,UT,84101,268850.0,"1 bd , 1 ba , 750 sqft",https://www.zillow.com/homedetails/5-S-500-W-UNIT-1116-Salt-Lake-City-UT-84101/65733953_zpid/,1.0,1.0,750.0,358.46666666666664,Downtown_SLC,Central,small
65729920,House For Sale,5 S 500 W UNIT 1015,SALT LAKE CITY,UT,84101,419000.0,"2 bds , 2 ba , 1,160 sqft",https://www.zillow.com/homedetails/5-S-500-W-UNIT-1015-Salt-Lake-City-UT-84101/65729920_zpid/,2.0,2.0,1160.0,361.2068965517241,Downtown_SLC,Central,small
52834472,Condo For Sale,159 West Broadway APT 108,SALT LAKE CITY,UT,84101,318500.0,"1 bd , 1 ba , 886 sqft",https://www.zillow.com/homedetails/159-West-Broadway-APT-108-Salt-Lake-City-UT-84101/52834472_zpid/,1.0,1.0,886.0,359.4808126410835,Downtown_SLC,Central,small
12735293,Condo For Sale,380 W 200 S APT 602,SALT LAKE CITY,UT,84101,599900.0,"3 bds , 3 ba , 1,691 sqft",https://www.zillow.com/homedetails/380-W-200-S-APT-602-Salt-Lake-City-UT-84101/12735293_zpid/,3.0,3.0,1691.0,354.7604967474867,Downtown_SLC,Central,medium
89425336,Condo For Sale,35 West Broadway APT 403,SALT LAKE CITY,UT,84101,879900.0,"1 bd , 3 ba , 2,336 sqft",https://www.zillow.com/homedetails/35-West-Broadway-APT-403-Salt-Lake-City-UT-84101/89425336_zpid/,1.0,3.0,2336.0,376.6695205479452,Downtown_SLC,Central,medium
2092527388,House For Sale,835 S 200 W,SALT LAKE CITY,UT,84101,465000.0,"3 bds , 3 ba , 1,560 sqft",https://www.zillow.com/homedetails/835-S-200-W-Salt-Lake-City-UT-84101/2092527388_zpid/,3.0,3.0,1560.0,298.0769230769231,Downtown_SLC,Central,medium
2090952751,Condo For Sale,360 W 300 S UNIT 413,SALT LAKE CITY,UT,84101,325000.0,"2 bds , 2 ba , 692 sqft",https://www.zillow.com/homedetails/360-W-300-S-UNIT-413-Salt-Lake-City-UT-84101/2090952751_zpid/,2.0,2.0,692.0,469.6531791907515,Downtown_SLC,Central,small
65729905,Condo For Sale,5 S 500 W UNIT 704,SALT LAKE CITY,UT,84101,260000.0,"2 bds , 2 ba , 864 sqft",https://www.zillow.com/homedetails/5-S-500-W-UNIT-704-Salt-Lake-City-UT-84101/65729905_zpid/,2.0,2.0,864.0,300.9259259259259,Downtown_SLC,Central,small
89421785,Condo For Sale,163 W 200 S APT 507,SALT LAKE CITY,UT,84101,319900.0,"2 bds , 1 ba , 790 sqft",https://www.zillow.com/homedetails/163-W-200-S-APT-507-Salt-Lake-City-UT-84101/89421785_zpid/,2.0,1.0,790.0,404.9367088607595,Downtown_SLC,Central,small
65434493,For Sale by Owner,5 S 500 W UNIT 611,SALT LAKE CITY,UT,84101,379900.0,"2 bds , 2 ba , 1,198 sqft",https://www.zillow.com/homedetails/5-S-500-W-UNIT-611-Salt-Lake-City-UT-84101/65434493_zpid/,2.0,2.0,1198.0,317.1118530884808,Downtown_SLC,Central,small
117876609,Condo For Sale,99 W South Temple UNIT 2406,SALT LAKE CITY,UT,84101,1995000.0,"3 bds , 2 ba , 2,296 sqft",https://www.zillow.com/homedetails/99-W-South-Temple-UNIT-2406-Salt-Lake-City-UT-84101/117876609_zpid/,3.0,2.0,2296.0,868.9024390243902,Downtown_SLC,Central,medium
